class,smooth,raw,prob,gombit,normit,base2,base10,smooth_obj,raw_obj,prob_obj,normit_obj,gombit_obj,base2_obj,base10_obj,instance_freq,img_freq,names
-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
0,1.61242838605111,0.612435528925011,-0.168514176117954,0.247244529368514,-0.105547053804369,0.883557700444323,0.265977370733632,2.18681316499302,1.18681581222891,0.822696793228003,0.509526809760893,1.01027448951295,1.71221328675125,0.515427558286541,262465,64115,person
1,4.59354468132353,3.59384368315053,3.56596623819937,3.57993734179595,1.9189954507495,5.18482045941139,1.56078648041513,5.79487004129998,4.7950094562862,4.78670414182997,2.39673591033411,4.7908596731501,6.91773636359978,2.08244614753901,7113,3252,bicycle
2,3.26743313984422,2.26750630852406,2.15817109278283,2.21333674226893,1.2614680600153,3.2713201064921,0.98476547747281,3.97574958992828,2.97577122305914,2.92341622819003,1.63515690098219,2.94970793324456,4.29313038632751,1.29236102158108,43867,12251,car
3,4.51950258459939,3.51977964097243,3.48972657946387,3.504790742706,1.88661656741668,5.07796863305286,1.52862087558974,5.59062764012483,4.59074108394908,4.58054393222744,2.32092903729912,4.58564684066381,6.62303939581857,1.99373352060564,8725,3502,motorbike
4,4.67885278958077,3.67917917571909,3.65361140114729,3.66642252624717,1.95581141292244,5.30793355135188,1.59784721394816,6.12066014843859,5.12085370865705,5.11486488812737,2.51385811863077,5.11786079280723,7.38783025059739,2.22395850830356,5135,2986,aeroplane
5,4.3986475445002,3.39889209495047,3.36491095576544,3.3819496381375,1.83287925308739,4.90356476990174,1.47612008142157,5.95357610975484,4.95373970518386,4.94665771847185,2.45435041663019,4.95020080159931,7.14673570652351,2.15138181874639,6069,3952,bus
6,4.49524871664927,3.49551893063954,3.46471636150495,3.48015717902073,1.87592188333707,5.04296782656716,1.51808458296511,6.23698396889368,5.23720155268797,5.23187226713988,2.55462516875516,5.23453809330049,7.55568470819891,2.27448773494753,4571,3588,train
7,3.96025389637645,2.96040864109257,2.90722118954276,2.93393278358084,1.62766710228337,4.27096686550909,1.28568913700521,5.45695300770231,4.45705211061784,4.44538784869855,2.27024047793206,4.45122564861036,6.43016697697205,1.93567313719657,9973,6127,truck
8,4.66588071344858,3.66620278335329,3.64029670644874,3.65327770827881,1.95024615468338,5.2892125744371,1.59221163834868,5.38109916009261,4.3811909384258,4.36860157330801,2.24107988133737,4.37490285969628,6.32072244005457,1.90272704872286,10759,3025,boat
9,4.35242654097752,3.3526596620695,3.31704163924976,3.3349035102487,1.81202501685065,4.83686546825613,1.4560415909364,5.20087087072192,4.20094732056862,4.18585258823608,2.17058237132559,4.19340944817367,6.06068586642013,1.8244482400892,12884,4139,traffic light
10,5.23546005109519,4.23603587992603,4.2214654259161,4.22875949866084,2.18444401058716,6.11130795699701,1.83968700779606,7.13313761240109,6.1336724989418,6.1315015419896,2.85253495098506,6.13258721684295,8.84901889666035,2.66382012009215,1865,1711,fire hydrant
